time;SP;PV;OP
1;110;107.5;13.85
2;110;107.38;13.95
3;110;107.5;14.04
4;110;107.88;14.11
5;110;107.63;14.2
6;110;108.88;14.22
7;110;110.75;14.17
8;110;112.13;14.07
9;110;113.13;13.94
10;110;113.75;13.79
11;110;114.13;13.64
12;110;114.25;13.48
13;110;114.38;13.32
14;110;114;13.18
15;110;114.38;13.01
16;110;114.13;12.87
17;110;114;12.72
18;110;114.5;12.55
19;110;114.38;12.39
20;110;114;12.25
21;110;112.75;12.17
22;110;112.25;12.1
23;110;111.88;12.03
24;110;111.25;12
25;110;110;12.02
26;110;108.75;12.08
27;110;108.25;12.15
28;110;107.75;12.24
29;110;107.88;12.32
30;110;107.88;12.4
31;110;107.88;12.47
32;110;107.5;12.57
33;110;107.5;12.66
34;110;107.88;12.73
35;110;108.25;12.79
36;110;108.75;12.83
37;110;109.63;12.83
38;110;109.88;12.83
39;110;110.38;12.81
40;110;110.25;12.8
41;110;110.13;12.8
42;110;110;12.8
43;110;110.25;12.79
44;110;110.13;12.79
45;110;110.38;12.77
46;110;110.5;12.75
47;110;110.25;12.74
48;110;110.25;12.73
49;110;110.13;12.73
50;110;109.88;12.74
51;110;109.5;12.76
52;110;109.38;12.79
53;110;109;12.83
54;110;108.5;12.89
55;110;108.38;12.95
56;110;107.88;13.04
57;110;107.88;13.12
58;110;107.5;13.21
59;110;107.13;13.32
60;110;106.88;13.44
61;110;107.13;13.54
62;110;107.25;13.64
63;110;107.5;13.73
64;110;107.88;13.8
65;110;108.88;13.83
66;110;109;13.86
67;110;109.5;13.87
68;110;110.5;13.84
69;110;110.75;13.81
70;110;110.88;13.77
71;110;111;13.73
72;110;110.63;13.72
73;110;110.25;13.71
74;110;110.25;13.7
75;110;110.63;13.68
76;110;110.38;13.67
77;110;110.38;13.65
78;110;109.75;13.67
79;110;109.38;13.7
80;110;109;13.74
81;110;108.25;13.82
82;110;107.88;13.9
83;110;107.88;13.98
84;110;107.63;14.07
85;110;107.88;14.14
86;110;107.5;14.24
87;110;107.63;14.32
88;110;108.75;14.35
89;110;109.38;14.36
90;110;109.88;14.36
91;110;110.63;14.33
92;110;110.75;14.3
93;110;111.5;14.23
94;110;112.38;14.13
95;110;112.88;14.02
96;110;113.5;13.88
97;110;113.13;13.77
98;110;113.63;13.63
99;110;113.63;13.5
100;110;113.25;13.39
101;110;113.13;13.28
102;110;112.75;13.18
103;110;113.13;13.06
104;110;113.13;12.95
105;110;113.5;12.82
106;110;113.63;12.68
107;110;113.38;12.56
108;110;113.38;12.44
109;110;113.5;12.31
110;110;112.88;12.22
111;110;112;12.16
112;110;111.25;12.12
113;110;111;12.09
114;110;110.5;12.08
115;110;109.5;12.11
116;110;108.5;12.18
117;110;107.88;12.27
118;110;107.88;12.35
119;110;107.63;12.44
120;110;107.5;12.53
121;110;107.38;12.63
122;110;107.88;12.7
123;110;108.63;12.74
124;110;109.25;12.75
125;110;109.38;12.77
126;110;109.5;12.79
127;110;109.63;12.8
128;110;109.88;12.8
129;110;109.5;12.83
130;110;110.13;12.81
131;110;110.75;12.78
132;110;110.25;12.77
133;110;110.63;12.75
134;110;110.5;12.73
135;110;110.5;12.71
136;110;110.25;12.71
137;110;109.25;12.75
138;110;108.63;12.81
139;110;108.38;12.87
140;110;107.88;12.96
141;110;107.63;13.05
142;110;107.63;13.13
143;110;107.13;13.25
144;110;107.5;13.33
145;110;107.25;13.44
146;110;107;13.55
147;110;107.38;13.64
148;110;107.5;13.73
149;110;107.5;13.82
150;110;107.5;13.91
151;110;108.38;13.96
152;110;108.75;14
153;110;109.13;14.02
154;110;109.75;14.02
155;110;109.63;14.04
156;110;110;14.03
157;110;110.88;13.99
158;110;111.88;13.9
159;110;112.63;13.8
160;110;113.13;13.67
161;110;113.25;13.55
162;110;113.5;13.42
163;110;113.38;13.3
164;110;113.25;13.18
165;110;113.38;13.06
166;110;113.25;12.94
167;110;113.13;12.83
168;110;112.38;12.76
169;110;111.88;12.7
170;110;111.5;12.65
171;110;111.38;12.6
172;110;111.25;12.55
173;110;110.75;12.53
174;110;110.63;12.51
175;110;110.63;12.49
176;110;110.63;12.47
177;110;110.25;12.47
178;110;110.38;12.45
179;110;110.25;12.44
180;110;110.25;12.43
181;110;110.25;12.42
182;110;110.25;12.42
183;110;109.63;12.44
184;110;109.38;12.46
185;110;109.5;12.48
186;110;109.88;12.48
187;110;109.88;12.48
188;110;109.88;12.49
189;110;110.13;12.48
190;110;110.25;12.47
191;110;110.38;12.45
192;110;110.5;12.43
193;110;110.63;12.41
194;110;110.13;12.41
195;110;109.38;12.45
196;110;108.38;12.52
197;110;108.38;12.58
198;110;107.63;12.68
199;110;107.25;12.78
200;110;107;12.9
201;110;106.63;13.03
202;110;106.75;13.14
203;110;107;13.25
204;110;107.13;13.35
205;110;107.13;13.46
206;110;106.63;13.59
207;110;106.63;13.71
208;110;107.13;13.81
209;110;107.63;13.89
210;110;107.88;13.96
211;110;108.63;14
212;110;109.13;14.02
213;110;109.5;14.03
214;110;109.38;14.06
215;110;109.88;14.06
216;110;110.38;14.03
217;110;111.25;13.98
218;110;112;13.89
219;110;112.25;13.81
220;110;112.38;13.72
221;110;112.63;13.62
222;110;112.88;13.51
223;110;112.63;13.42
224;110;112.63;13.32
225;110;111.63;13.28
226;110;111;13.25
227;110;111.13;13.21
228;110;110.75;13.19
229;110;110.75;13.16
230;110;110;13.17
231;110;110.25;13.16
232;110;110;13.16
233;110;110.13;13.15
234;110;110.38;13.14
235;110;110.25;13.13
236;110;110.25;13.12
237;110;110.38;13.11
238;110;109.88;13.12
239;110;110.25;13.1
240;110;110.63;13.07
241;110;111.13;13.03
242;110;111.75;12.95
243;110;112.25;12.86
244;110;112.38;12.77
245;110;112.38;12.69
246;110;112.38;12.6
247;110;112.63;12.5
248;110;112.5;12.41
249;110;112.5;12.32
250;110;112.38;12.24
251;110;111.5;12.2
252;110;111.38;12.15
253;110;110.88;12.12
254;110;109.88;12.14
255;110;109.13;12.19
256;110;107.88;12.28
257;110;107.5;12.38
258;110;106.63;12.52
259;110;106.5;12.65
260;110;106.38;12.78
261;110;106.25;12.92
262;110;106.38;13.05
263;110;106;13.2
264;110;105.88;13.35
265;110;105.88;13.5
266;110;106.38;13.63
267;110;107.25;13.71
268;110;107.75;13.79
269;110;108.13;13.85
270;110;108.63;13.89
271;110;109.25;13.91
272;110;109.13;13.94
273;110;109.38;13.96
274;110;109.5;13.98
275;110;109.63;13.99
276;110;109.88;13.99
277;110;109.88;14
278;110;109.63;14.01
279;110;109.13;14.05
280;110;109.13;14.09
281;110;109.13;14.12
282;110;109.25;14.14
283;110;109.38;14.16
284;110;109.38;14.19
285;110;109.25;14.22
286;110;109.38;14.24
287;110;109.13;14.27
288;110;109.25;14.3
289;110;109.38;14.32
290;110;109.5;14.33
291;110;110.13;14.32
292;110;110.13;14.32
293;110;110.38;14.3
294;110;110.5;14.28
295;110;110.5;14.26
296;110;110.25;14.26
297;110;110.63;14.23
298;110;111;14.18
299;110;111.5;14.12
300;110;111.5;14.07
301;110;111.88;13.99
302;110;112.13;13.91
303;110;112.25;13.83
304;110;112.13;13.75
305;110;112.13;13.68
306;110;112.38;13.59
307;110;112.25;13.5
308;110;112.38;13.42
309;110;112.63;13.32
310;110;112.25;13.24
311;110;111.88;13.18
312;110;111.13;13.15
313;110;110.75;13.13
314;110;110.5;13.11
315;110;110;13.12
316;110;109.75;13.13
317;110;109.88;13.14
318;110;109.88;13.14
319;110;109.38;13.17
320;110;109.25;13.2
321;110;109.38;13.22
322;110;109.38;13.24
323;110;109.38;13.27
324;110;109.88;13.26
325;110;110.63;13.23
326;110;111;13.19
327;110;111.25;13.14
328;110;111.75;13.07
329;110;111.5;13.02
330;110;111.75;12.95
331;110;111.88;12.88
332;110;112.63;12.77
333;110;112.38;12.69
334;110;112.63;12.59
335;110;112.63;12.49
336;110;112.75;12.39
337;110;112.75;12.29
338;110;113.13;12.17
339;110;112.63;12.08
340;110;112.5;11.99
341;110;111.25;11.97
342;110;109.5;12.01
343;110;107.13;12.15
344;110;105;12.37
345;110;104;12.6
346;110;103.25;12.86
347;110;103.13;13.11
348;110;103;13.37
349;110;103;13.62
350;110;102.88;13.89
351;110;102.75;14.15
352;110;102.75;14.42
353;110;103.5;14.64
354;110;105.75;14.76
355;110;108.38;14.78
356;110;110.5;14.73
357;110;113;14.58
358;110;114.38;14.4
359;110;114.75;14.22
360;110;115.5;14.01
361;110;116;13.78
362;110;116.25;13.55
363;110;116.75;13.3
364;110;117;13.04
365;110;117.13;12.78
366;110;117.13;12.52
367;110;117.38;12.25
368;110;117.13;11.99
369;110;116.75;11.75
370;110;114.63;11.61
371;110;110.38;11.67
372;110;107.13;11.82
373;110;105.5;12.01
374;110;104.75;12.21
375;110;104.13;12.44
376;110;103.88;12.66
377;110;103.75;12.89
378;110;104.13;13.1
379;110;104.25;13.31
380;110;104;13.53
381;110;103.88;13.76
382;110;104.13;13.97
383;110;103.88;14.19
384;110;104.63;14.38
385;110;105.75;14.52
386;110;108.5;14.53
387;110;111;14.45
388;110;113.38;14.29
389;110;115.13;14.08
390;110;116;13.85
391;110;116.88;13.58
392;110;116.38;13.36
393;110;116.63;13.11
394;110;116.5;12.88
395;110;116.63;12.64
396;110;116.38;12.41
397;110;116.25;12.18
398;110;115.88;11.97
399;110;114.75;11.82
400;110;112.13;11.78
401;110;108.88;11.87
402;110;106.63;12.03
403;110;105.38;12.22
404;110;104.88;12.41
405;110;104.63;12.61
406;110;104.38;12.82
407;110;103.88;13.05
408;110;103.75;13.28
409;110;104;13.49
410;110;104;13.71
411;110;104.13;13.93
412;110;104.25;14.13
413;110;104.63;14.32
414;110;105.63;14.47
415;110;108;14.5
416;110;109.88;14.48
417;110;111.38;14.41
418;110;113.5;14.25
419;110;115.13;14.03
420;110;116.25;13.79
421;110;116.5;13.55
422;110;116.63;13.31
423;110;116.75;13.06
424;110;116.75;12.81
425;110;117.38;12.53
426;110;117.25;12.27
427;110;117.25;12.01
428;110;116.63;11.78
429;110;115.13;11.61
430;110;111.88;11.59
431;110;109;11.67
432;110;107.13;11.81
433;110;105.25;12.01
434;110;104.38;12.23
435;110;104.13;12.44
436;110;103.88;12.67
437;110;103.88;12.9
438;110;103.75;13.12
439;110;103.75;13.35
440;110;104.13;13.56
441;110;105;13.73
442;110;105.25;13.9
443;110;105.88;14.04
444;110;106.75;14.14
445;110;107.88;14.2
446;110;109.75;14.19
447;110;112;14.08
448;110;113.13;13.95
449;110;113.88;13.79
450;110;114;13.65
451;110;113.88;13.51
452;110;113.88;13.37
453;110;114.25;13.21
454;110;114.5;13.04
455;110;114.63;12.87
456;110;114.38;12.71
457;110;114.38;12.55
458;110;113.75;12.43
459;110;112.5;12.35
460;110;112;12.29
461;110;111.88;12.22
462;110;111.5;12.17
463;110;111.25;12.13
464;110;110.5;12.12
465;110;109.13;12.18
466;110;108.25;12.25
467;110;107.88;12.34
468;110;107.75;12.42
469;110;107.88;12.5
470;110;107.5;12.59
471;110;108.25;12.65
472;110;108.88;12.68
473;110;109.13;12.71
474;110;109.38;12.72
475;110;109.5;12.74
476;110;109.5;12.76
477;110;109.88;12.76
478;110;110.13;12.75
479;110;110.25;12.74
480;110;110;12.74
481;110;110.5;12.72
482;110;110.63;12.69
483;110;110.63;12.67
484;110;110.75;12.64
485;110;110.75;12.61
486;110;110.13;12.62
487;110;109.25;12.66
488;110;108.63;12.72
489;110;108.63;12.77
490;110;108.38;12.83
491;110;108.25;12.9
492;110;108.38;12.95
493;110;107.88;13.04
494;110;108.13;13.1
495;110;108.25;13.17
496;110;107.88;13.25
497;110;108;13.32
498;110;108.38;13.37
499;110;108.25;13.44
500;110;107.88;13.52
501;110;107.63;13.61
502;110;108.75;13.64
503;110;109.13;13.67
504;110;109.63;13.67
505;110;109.63;13.69
506;110;109.88;13.69
507;110;109.63;13.7
508;110;109.88;13.71
509;110;110.38;13.68
510;110;110.63;13.66
511;110;110.5;13.64
512;110;110.63;13.62
513;110;110.63;13.59
514;110;110.5;13.58
515;110;110.88;13.54
516;110;110.75;13.51
517;110;109.88;13.53
518;110;109.38;13.56
519;110;108.88;13.61
520;110;108.75;13.66
521;110;108.5;13.72
522;110;108.13;13.79
523;110;107.88;13.87
524;110;108.38;13.92
525;110;108.38;13.98
526;110;108.25;14.05
527;110;108.5;14.1
528;110;108.38;14.16
529;110;108.5;14.21
530;110;109.75;14.2
531;110;111.75;14.11
532;110;112.38;14.01
533;110;113.13;13.89
534;110;113.25;13.77
535;110;113.75;13.62
536;110;113.75;13.49
537;110;113.75;13.35
538;110;113.88;13.21
539;110;113.5;13.09
540;110;114;12.93
541;110;114;12.79
542;110;113.88;12.65
543;110;113.88;12.51
544;110;114;12.36
545;110;114.38;12.19
546;110;113.88;12.06
547;110;113.5;11.94
548;110;113;11.84
549;110;111.63;11.8
550;110;109.25;11.86
551;110;106.88;12.01
552;110;105.25;12.21
553;110;104.38;12.43
554;110;104.25;12.64
555;110;103.5;12.89
556;110;103.88;13.1
557;110;104.25;13.31
558;110;104.25;13.52
559;110;104.13;13.73
560;110;104.63;13.92
561;110;105.13;14.09
562;110;105.88;14.23
563;110;106.5;14.35
564;110;108.13;14.39
565;110;110.38;14.34
566;110;111.88;14.25
567;110;112.38;14.16
568;110;112.75;14.05
569;110;112.75;13.95
570;110;112.5;13.87
571;110;112.63;13.77
572;110;112.88;13.66
573;110;113.13;13.54
574;110;113.5;13.41
575;110;113.63;13.27
576;110;113.13;13.17
577;110;113.13;13.05
578;110;112.88;12.95
579;110;112.25;12.88
580;110;111.88;12.82
581;110;111.75;12.76
582;110;111.38;12.71
583;110;111.25;12.67
584;110;111.13;12.63
585;110;111.38;12.58
586;110;111.5;12.52
587;110;111.5;12.46
588;110;111.38;12.42
589;110;111.5;12.36
590;110;111.63;12.3
591;110;111.63;12.24
592;110;111.13;12.21
593;110;110;12.22
594;110;109.63;12.24
595;110;109.13;12.28
596;110;109.13;12.31
597;110;109.13;12.35
598;110;109.25;12.37
599;110;109.38;12.39
600;110;109.13;12.43
601;110;109.63;12.43
602;110;109.13;12.47
603;110;109.13;12.51
604;110;109.38;12.52
605;110;109.38;12.55
606;110;109.5;12.56
607;110;109.63;12.57
608;110;109.38;12.6
609;110;108.63;12.66
610;110;108.5;12.72
611;110;108.25;12.79
612;110;107.88;12.87
613;110;107.63;12.96
614;110;107.88;13.03
615;110;108.13;13.1
616;110;108.25;13.16
617;110;108.38;13.22
618;110;107.88;13.3
619;110;107.75;13.39
620;110;107.88;13.46
621;110;107.63;13.55
622;110;107.75;13.63
623;110;107.88;13.71
624;110;108.38;13.76
625;110;108.63;13.81
626;110;109.75;13.8
627;110;110.13;13.79
